algorithm,iteration,cost
Hypersurface,35,366578.33071340166
Hypersurface,40,357448.20988953754
Hypersurface,45,347791.62179771723
Hypersurface,50,338068.7657782195
Hypersurface,55,329682.5166140152
Hypersurface,60,323212.9449638367
Hypersurface,65,318260.6142465118
Hypersurface,70,314205.48491095024
Hypersurface,75,310594.9398738612
Hypersurface,80,307181.26328212424
Hypersurface,85,303861.31189401343
Hypersurface,90,300611.0636727502
Hypersurface,95,297440.6877642798
Hypersurface,100,294365.7962194139
Hypersurface,105,291399.55875401717
Hypersurface,110,288548.22309099254
Hypersurface,115,285813.6955033221
Hypersurface,120,283194.6696902765
Hypersurface,125,280687.74222537334
Hypersurface,130,278288.92084638047
Hypersurface,135,275995.04681110755
Hypersurface,140,273802.43431151897
Hypersurface,145,271707.0898231223
Hypersurface,150,269706.205751721
Hypersurface,155,267796.87092199555
Hypersurface,160,265972.7761641803
Hypersurface,165,264226.44762832264
Hypersurface,170,262549.61543598014
Hypersurface,175,260933.4666144232
Hypersurface,180,259368.94174589435
Hypersurface,185,257846.52332206065
Hypersurface,190,256355.40152836926
Hypersurface,195,254882.00521472708
Hypersurface,200,253418.04558123974
Hypersurface,205,251964.17727891353
Hypersurface,210,250528.9529067562
Hypersurface,215,249140.6698453058
Hypersurface,220,247811.6251048008
Hypersurface,225,246537.80701089968
Hypersurface,230,245315.8563295444
Hypersurface,235,244139.5108962141
Hypersurface,240,243002.8880568192
Hypersurface,245,241898.92524537822
Hypersurface,250,240826.91421993077
"L2,1-NMF",5,23665.70172350536
"L2,1-NMF",10,22484.551261069984
"L2,1-NMF",15,19675.957880083457
"L2,1-NMF",20,18842.18227700831
"L2,1-NMF",25,17987.83264670628
"L2,1-NMF",30,16879.25018542698
"L2,1-NMF",35,15789.462926737759
"L2,1-NMF",40,14882.847216661157
"L2,1-NMF",45,14171.660004742102
"L2,1-NMF",50,13635.28460451703
"L2,1-NMF",55,13238.453973152973
"L2,1-NMF",60,12937.474692166556
"L2,1-NMF",65,12701.591810986145
"L2,1-NMF",70,12510.624093384331
"L2,1-NMF",75,12352.35238026947
"L2,1-NMF",80,12219.832617879492
"L2,1-NMF",85,12107.671058638227
"L2,1-NMF",90,12012.028663143243
"L2,1-NMF",95,11930.235682579778
"L2,1-NMF",100,11859.6392641868
"L2,1-NMF",105,11798.60037896427
"L2,1-NMF",110,11745.446138620096
"L2,1-NMF",115,11698.801714554274
"L2,1-NMF",120,11657.680073039508
"L2,1-NMF",125,11621.074690144971
"L2,1-NMF",130,11588.239295857391
"L2,1-NMF",135,11558.65485659818
"L2,1-NMF",140,11531.943701843435
"L2,1-NMF",145,11507.595271724254
"L2,1-NMF",150,11485.264820767985
"L2,1-NMF",155,11464.724948105544
"L2,1-NMF",160,11445.826295754185
