run,block_size,n_blocks,fraction,corrupted_images,corrupted_pixel_fraction,algorithm,k,rre,accuracy,accuracy_hungarian,nmi,iterations,converged,final_cost,seconds
0,10,2,1.0,2173,0.095878,L1-Reg Robust,38,0.30952372384700383,0.08283479061205706,0.07777266451909802,0.11341681624811388,250,0,11617.928404713959,13.643801624988555
0,10,3,1.0,2173,0.139114,F-norm MU,38,0.7136201975586023,0.09618039576622181,0.08973768982972849,0.13882499024110712,250,0,112280.53643310997,4.830979541002307
0,10,3,1.0,2173,0.139114,L1-NMF,38,0.2946533813898477,0.10492406810860562,0.09986194201564658,0.14707558961578238,250,0,647928.5228677228,11.170935832997202
0,10,3,1.0,2173,0.139114,Hypersurface,38,0.6479657327097761,0.0966405890473999,0.09203865623561897,0.13390721429259295,250,0,354327.0625399609,12.508877500004019
0,10,3,1.0,2173,0.139114,"L2,1-NMF",38,0.715246098239956,0.10262310170271514,0.09618039576622181,0.1392332405133243,250,0,15331.905440060658,9.872807916006423
0,10,3,1.0,2173,0.139114,L1-Reg Robust,38,0.32144882723668183,0.09111826967326277,0.08283479061205706,0.12019511158175927,250,0,14274.904889368741,13.237205624987837
0,10,4,1.0,2173,0.180002,F-norm MU,38,0.8121545354161567,0.08605614358030372,0.08191440404970088,0.11743075936344181,250,0,133478.34352965464,4.979563832996064
0,10,4,1.0,2173,0.180002,L1-NMF,38,0.4118630964406136,0.09157846295444086,0.08651633686148182,0.12518149282115135,250,0,725580.8305972203,11.506332207995001
0,10,4,1.0,2173,0.180002,Hypersurface,38,0.7623862133409397,0.09157846295444086,0.08559595029912563,0.12371657601484948,250,0,399888.73338623694,12.793872499998542
0,10,4,1.0,2173,0.180002,"L2,1-NMF",38,0.8106697194288492,0.0975609756097561,0.09249884951679706,0.13000293915567823,250,0,16733.081457821696,10.224884499999462
0,10,4,1.0,2173,0.180002,L1-Reg Robust,38,0.3454345754725555,0.08973768982972849,0.08099401748734468,0.11716839999589428,250,0,16906.569491113903,13.502053374992101
0,15,2,0.1,217,0.02027,F-norm MU,38,0.3325981596961346,0.14450069028992177,0.13805798435342845,0.23416657395776772,250,0,33375.59491957739,5.203988584005856
0,15,2,0.1,217,0.02027,L1-NMF,38,0.28345454345318066,0.09986194201564658,0.09479981592268753,0.14122014146226078,250,0,314461.30608893675,11.374018000002252
0,15,2,0.1,217,0.02027,Hypersurface,38,0.30384541055665504,0.1606074551311551,0.15508513575701796,0.24051197419095938,250,0,152649.58680561243,12.901889250002569
0,15,2,0.1,217,0.02027,"L2,1-NMF",38,0.3231289165706053,0.1665899677864703,0.1587666820064427,0.26737620370217674,250,0,7833.281200226702,10.186520167000708
0,15,2,0.1,217,0.02027,L1-Reg Robust,38,0.2998402201344243,0.08559595029912563,0.0800736309249885,0.10639770171640722,250,0,6601.949549352104,13.814258833997883
0,15,2,0.25,543,0.05106,F-norm MU,38,0.4790023853754795,0.12609295904279796,0.12149102623101703,0.19442783404213093,250,0,46585.226928578806,5.085744582989719
0,15,2,0.25,543,0.05106,L1-NMF,38,0.3284397103675665,0.09065807639208467,0.08513575701794754,0.12346769925405701,250,0,391361.3771897156,11.665924582994194
0,15,2,0.25,543,0.05106,Hypersurface,38,0.4632701332791157,0.11182696732627703,0.10768522779567419,0.19010885156989127,250,0,187324.60738765192,13.059028499992564
0,15,2,0.25,543,0.05106,"L2,1-NMF",38,0.46854223235078135,0.13713759779107226,0.13115508513575702,0.21603224170382943,250,0,9247.48316042845,10.391818707998027
0,15,2,0.25,543,0.05106,L1-Reg Robust,38,0.3130101139394195,0.08283479061205706,0.07639208467556374,0.1113977918949106,250,0,8590.076065382815,13.702789582996047
0,15,2,0.5,1086,0.101927,F-norm MU,38,0.6445282520289075,0.09986194201564658,0.09572020248504372,0.14195915904592338,250,0,66467.70728059295,4.997696040998562
0,15,2,0.5,1086,0.101927,L1-NMF,38,0.4813776180154048,0.08651633686148182,0.08283479061205706,0.11041504562458017,250,0,475885.4896985891,11.5154768749926
0,15,2,0.5,1086,0.101927,Hypersurface,38,0.6153031426283614,0.10446387482742751,0.10124252185918085,0.1456785508069514,250,0,241036.65131225216,12.709786792009254
0,15,2,0.5,1086,0.101927,"L2,1-NMF",38,0.6367005356945041,0.10262310170271514,0.09986194201564658,0.14755473452249662,250,0,11380.9855286997,10.325927916986984
0,15,2,0.5,1086,0.101927,L1-Reg Robust,38,0.337111731793271,0.08421537045559135,0.07915324436263231,0.11814706235313553,250,0,11728.191243802326,13.435453166006482
0,15,2,0.75,1630,0.15297,F-norm MU,38,0.778035660091096,0.09203865623561897,0.0878969167050161,0.12825598634700422,250,0,84906.22545596027,4.86529483301274
0,15,2,0.75,1630,0.15297,L1-NMF,38,0.6831029048500035,0.08559595029912563,0.08053382420616659,0.10691060220692318,250,0,515620.3589999218,11.417805458011571
0,15,2,0.75,1630,0.15297,Hypersurface,38,0.7486478389505304,0.09295904279797515,0.08973768982972849,0.12098716921498066,250,0,289471.0112762758,12.894886042005965
0,15,2,0.75,1630,0.15297,"L2,1-NMF",38,0.7736031098407368,0.09710078232857801,0.09065807639208467,0.12816517995797583,250,0,13066.941603949632,10.39516724999703
0,15,2,0.75,1630,0.15297,L1-Reg Robust,38,0.3679528599679649,0.09618039576622181,0.0878969167050161,0.12547566405360436,250,0,14828.75349021576,13.72612933399796
0,15,2,1.0,2173,0.204222,F-norm MU,38,0.8936848364994221,0.09572020248504372,0.08881730326737229,0.12531432058722,250,0,106191.2936891829,5.032304666994605
0,15,2,1.0,2173,0.204222,L1-NMF,38,0.80975699110737,0.08283479061205706,0.07777266451909802,0.10847672496347897,250,0,577014.110587853,12.76257579200319
0,15,2,1.0,2173,0.204222,Hypersurface,38,0.8663219941383266,0.09019788311090658,0.08513575701794754,0.11840083964761298,250,0,340248.0973985445,16.12168241699692
0,15,2,1.0,2173,0.204222,"L2,1-NMF",38,0.8924724788271187,0.08237459733087897,0.0800736309249885,0.10612062365317355,250,0,15037.74079561596,11.30984320800053
0,15,2,1.0,2173,0.204222,L1-Reg Robust,38,0.43896372591849503,0.09433962264150944,0.0878969167050161,0.13027119763402903,250,0,18013.015499348123,15.983880624989979
1,0,0,0.0,0,0.0,F-norm MU,38,0.19215372895440835,0.23423838011965026,0.223193741371376,0.3540394633433879,250,0,21751.84124634299,6.257122166993213
1,0,0,0.0,0,0.0,L1-NMF,38,0.26737172940428017,0.09618039576622181,0.09065807639208467,0.1361826432879951,250,0,258194.13546696043,11.922695166998892
1,0,0,0.0,0,0.0,Hypersurface,38,0.21330199492770258,0.2043258168430741,0.1932811780947998,0.2831270827817928,250,0,115017.16963421785,13.96709233301226
